;age;job;marital;education;default;balance;housing;loan;contact;days since last contact;number previous contacts;previous outcome
31;31;technician;married;secondary;no;171;no;no;cellular;-1;0;unknown
32;59;management;married;secondary;no;42;no;no;cellular;-1;0;unknown
33;32;management;single;tertiary;no;2536;yes;no;cellular;-1;0;unknown
34;49;technician;married;tertiary;no;1235;no;no;cellular;-1;0;unknown
35;42;admin.;divorced;secondary;no;1811;yes;no;unknown;-1;0;unknown
36;78;retired;divorced;primary;no;229;no;no;telephone;-1;0;unknown
37;32;blue-collar;married;secondary;no;2089;yes;no;cellular;-1;0;unknown
38;33;management;married;secondary;no;3935;yes;no;cellular;342;2;failure
39;23;services;single;tertiary;no;363;yes;no;unknown;-1;0;unknown
40;38;management;single;tertiary;no;11971;yes;no;unknown;101;3;failure
41;36;management;single;tertiary;no;553;no;no;cellular;-1;0;unknown
42;52;blue-collar;married;secondary;no;1117;yes;no;cellular;-1;0;unknown
43;32;technician;married;tertiary;no;396;yes;no;cellular;-1;0;unknown
44;32;technician;single;tertiary;no;2204;yes;no;cellular;-1;0;unknown
45;34;management;single;tertiary;no;872;yes;no;unknown;-1;0;unknown
46;55;blue-collar;married;primary;no;145;no;no;telephone;5;2;other
47;26;blue-collar;married;primary;no;0;yes;no;unknown;-1;0;unknown
48;32;entrepreneur;single;primary;yes;-849;yes;yes;cellular;-1;0;unknown
49;61;admin.;married;unknown;no;4629;yes;no;cellular;92;1;success
50;45;blue-collar;divorced;primary;no;844;no;no;unknown;-1;0;unknown
51;37;technician;single;secondary;no;228;yes;no;cellular;-1;0;unknown
52;38;technician;single;secondary;no;50;no;no;cellular;-1;0;unknown
53;34;technician;married;tertiary;no;1539;yes;no;cellular;56;1;other
54;53;blue-collar;married;secondary;no;2231;yes;no;cellular;-1;0;unknown
55;48;admin.;married;secondary;no;3064;yes;no;telephone;-1;0;unknown
56;57;management;married;secondary;no;82;no;yes;telephone;-1;0;unknown
57;33;self-employed;single;tertiary;no;2155;no;no;cellular;-1;0;unknown
58;36;retired;single;secondary;no;101;yes;yes;unknown;-1;0;unknown
59;54;technician;divorced;secondary;no;784;yes;yes;unknown;-1;0;unknown
60;41;blue-collar;married;primary;no;-516;no;yes;telephone;-1;0;unknown
61;63;retired;married;secondary;no;415;yes;no;cellular;-1;0;unknown
62;48;management;married;tertiary;no;5887;no;no;cellular;-1;0;unknown
63;48;services;married;secondary;no;1355;no;no;cellular;-1;0;unknown
64;56;admin.;married;secondary;no;16873;no;no;cellular;-1;0;unknown
65;51;blue-collar;divorced;secondary;no;203;yes;no;cellular;170;5;failure
66;31;services;married;secondary;no;338;yes;no;cellular;-1;0;unknown
67;29;technician;married;secondary;no;444;yes;no;cellular;-1;0;unknown
68;41;management;married;secondary;no;0;no;yes;cellular;-1;0;unknown
69;32;technician;single;tertiary;no;360;no;no;cellular;-1;0;unknown
70;37;management;married;tertiary;no;0;no;no;cellular;182;3;success
71;42;entrepreneur;divorced;tertiary;yes;2;yes;no;unknown;-1;0;unknown
72;31;management;single;tertiary;no;6248;yes;no;unknown;-1;0;unknown
73;41;services;married;tertiary;no;412;yes;no;unknown;-1;0;unknown
74;56;retired;married;secondary;no;344;yes;no;unknown;-1;0;unknown
75;54;management;divorced;tertiary;no;3222;no;no;cellular;-1;0;unknown
76;41;blue-collar;divorced;secondary;no;174;yes;no;cellular;297;1;other
77;40;technician;single;secondary;no;591;no;yes;cellular;-1;0;unknown
78;50;blue-collar;divorced;primary;no;388;no;no;cellular;-1;0;unknown
79;40;unemployed;married;secondary;no;219;yes;no;cellular;196;1;failure
80;27;admin.;divorced;secondary;no;451;yes;no;cellular;-1;0;unknown
81;60;retired;married;primary;no;5;no;no;cellular;-1;0;unknown
82;28;admin.;single;secondary;no;177;yes;yes;cellular;-1;0;unknown
83;52;services;married;secondary;no;657;no;no;telephone;460;2;failure
84;37;management;married;tertiary;no;1315;no;no;cellular;-1;0;unknown
85;51;blue-collar;married;primary;no;1466;yes;no;unknown;-1;0;unknown
86;41;technician;single;secondary;no;879;no;yes;cellular;-1;0;unknown
87;35;blue-collar;single;primary;no;293;yes;no;unknown;-1;0;unknown
88;38;admin.;married;secondary;no;424;yes;no;cellular;-1;0;unknown
89;34;blue-collar;married;secondary;no;1831;yes;no;unknown;-1;0;unknown
90;39;blue-collar;married;primary;no;111;no;no;cellular;-1;0;unknown
91;34;blue-collar;married;primary;no;455;yes;no;unknown;-1;0;unknown
92;27;services;single;secondary;no;-195;yes;no;cellular;-1;0;unknown
93;32;management;single;tertiary;no;3616;no;no;cellular;-1;0;unknown
94;57;blue-collar;married;secondary;no;14093;no;no;cellular;-1;0;unknown
95;41;unknown;single;tertiary;no;1567;no;no;cellular;-1;0;unknown
96;41;admin.;married;tertiary;no;5426;yes;no;unknown;-1;0;unknown
97;30;admin.;single;tertiary;no;261;no;no;cellular;137;20;failure
98;36;blue-collar;divorced;secondary;no;2843;no;no;cellular;182;1;success
99;31;unemployed;single;primary;no;406;no;no;cellular;-1;0;unknown
100;36;blue-collar;married;secondary;no;0;yes;no;unknown;-1;0;unknown
101;38;management;single;tertiary;no;493;yes;no;cellular;367;7;failure
102;49;technician;married;secondary;no;5996;no;no;telephone;-1;0;unknown
103;57;services;single;primary;no;3777;yes;no;telephone;-1;0;unknown
104;34;management;single;secondary;no;524;no;no;unknown;-1;0;unknown
105;32;management;single;tertiary;no;574;yes;no;cellular;145;3;failure
106;37;blue-collar;married;secondary;no;427;yes;yes;unknown;-1;0;unknown
107;33;self-employed;married;tertiary;no;483;yes;no;cellular;-1;0;unknown
108;56;unemployed;married;primary;no;3391;no;no;cellular;-1;0;unknown
109;27;housemaid;married;primary;no;0;yes;no;cellular;-1;0;unknown
110;21;student;single;secondary;no;2488;no;no;cellular;169;3;success
111;58;management;married;tertiary;no;1517;yes;no;telephone;-1;0;unknown
112;32;self-employed;married;secondary;no;217;yes;yes;cellular;-1;0;unknown
113;33;blue-collar;single;secondary;no;22;no;no;cellular;207;1;failure
114;25;student;single;secondary;no;331;no;no;telephone;-1;0;unknown
115;25;technician;single;secondary;no;505;no;yes;cellular;-1;0;unknown
116;30;services;married;secondary;no;1808;yes;no;cellular;-1;0;unknown
117;22;admin.;single;secondary;no;4111;no;yes;cellular;-1;0;unknown
118;39;blue-collar;married;primary;no;52;no;no;cellular;-1;0;unknown
119;46;management;divorced;tertiary;no;25;no;no;unknown;-1;0;unknown
120;31;admin.;divorced;secondary;no;1890;yes;no;cellular;-1;0;unknown
121;45;blue-collar;married;primary;no;419;no;no;cellular;-1;0;unknown
122;32;technician;married;secondary;no;2693;yes;no;unknown;-1;0;unknown
123;36;blue-collar;married;secondary;no;-231;no;yes;cellular;-1;0;unknown
124;51;management;single;tertiary;yes;-55;yes;no;cellular;266;6;failure
125;34;self-employed;single;tertiary;no;462;no;no;cellular;-1;0;unknown
126;24;unemployed;single;secondary;no;119;no;no;unknown;-1;0;unknown
127;45;technician;single;secondary;no;586;no;yes;cellular;-1;0;unknown
128;32;blue-collar;single;secondary;no;228;no;no;telephone;288;3;failure
129;77;retired;divorced;tertiary;no;4659;no;no;cellular;-1;0;unknown
130;41;blue-collar;married;primary;no;168;yes;no;cellular;-1;0;unknown
131;37;blue-collar;married;primary;no;0;yes;no;unknown;-1;0;unknown
132;43;blue-collar;married;unknown;yes;-715;yes;no;unknown;-1;0;unknown
133;48;admin.;married;unknown;no;0;yes;no;cellular;168;2;failure
134;27;technician;single;secondary;no;769;yes;no;unknown;-1;0;unknown
135;33;management;single;tertiary;no;0;no;no;cellular;-1;0;unknown
136;29;admin.;single;secondary;no;428;yes;yes;cellular;345;2;failure
137;34;management;single;tertiary;no;0;no;no;cellular;-1;0;unknown
138;52;management;married;tertiary;no;-970;yes;no;cellular;-1;0;unknown
139;60;management;married;unknown;no;6313;no;no;unknown;-1;0;unknown
140;32;management;divorced;tertiary;no;948;no;no;cellular;-1;0;unknown
141;32;management;single;tertiary;no;0;yes;no;cellular;-1;0;unknown
142;56;services;divorced;unknown;no;1877;yes;no;unknown;-1;0;unknown
143;31;management;single;tertiary;no;874;yes;no;cellular;-1;0;unknown
144;42;admin.;married;secondary;no;323;yes;yes;unknown;-1;0;unknown
145;35;management;married;tertiary;no;106;no;yes;cellular;-1;0;unknown
146;56;retired;married;primary;no;1906;no;yes;unknown;-1;0;unknown
147;48;technician;married;secondary;no;1152;yes;no;cellular;-1;0;unknown
148;46;admin.;married;secondary;no;179;yes;no;cellular;436;1;other
149;37;technician;single;unknown;no;391;yes;no;unknown;-1;0;unknown
150;41;entrepreneur;married;unknown;no;89;yes;no;unknown;-1;0;unknown
151;36;management;single;tertiary;no;442;yes;yes;cellular;-1;0;unknown
152;45;unemployed;divorced;primary;yes;-249;yes;yes;unknown;-1;0;unknown
153;55;entrepreneur;married;secondary;no;8104;no;no;cellular;-1;0;unknown
154;39;technician;married;secondary;no;501;no;no;unknown;-1;0;unknown
155;35;technician;divorced;secondary;no;308;no;no;cellular;-1;0;unknown
156;55;admin.;married;secondary;no;602;no;no;cellular;90;2;success
157;55;technician;married;secondary;no;273;yes;no;cellular;183;3;failure
158;27;self-employed;single;secondary;no;50;no;no;cellular;-1;0;unknown
159;34;technician;married;secondary;no;1641;yes;no;cellular;-1;0;unknown
160;34;blue-collar;married;tertiary;no;20;no;no;unknown;-1;0;unknown
161;25;admin.;single;secondary;no;4590;yes;no;unknown;-1;0;unknown
162;41;admin.;single;secondary;no;-256;no;yes;unknown;-1;0;unknown
163;43;services;married;secondary;no;978;yes;yes;unknown;-1;0;unknown
164;28;management;single;tertiary;no;80;no;no;cellular;146;2;failure
165;31;admin.;single;secondary;no;2104;yes;no;unknown;-1;0;unknown
166;78;housemaid;married;secondary;no;499;no;no;telephone;-1;0;unknown
167;45;blue-collar;divorced;secondary;no;1269;yes;no;cellular;-1;0;unknown
168;48;technician;married;tertiary;no;310;no;no;unknown;-1;0;unknown
169;32;blue-collar;single;secondary;no;1143;yes;yes;cellular;-1;0;unknown
170;42;technician;married;secondary;no;2980;no;no;unknown;-1;0;unknown
171;37;management;single;tertiary;no;37;no;no;cellular;-1;0;unknown
172;40;admin.;single;secondary;no;462;yes;yes;cellular;335;4;other
173;32;admin.;married;secondary;no;1031;yes;no;cellular;-1;0;unknown
174;42;management;married;tertiary;no;9009;no;no;cellular;-1;0;unknown
175;43;admin.;married;secondary;no;-465;yes;yes;cellular;-1;0;unknown
176;44;admin.;married;secondary;no;5181;yes;yes;cellular;-1;0;unknown
177;37;admin.;married;secondary;no;176;yes;no;cellular;347;1;failure
178;37;unknown;married;unknown;no;1699;no;no;unknown;-1;0;unknown
179;37;admin.;married;tertiary;no;0;yes;no;cellular;119;1;failure
180;28;technician;single;tertiary;no;172;yes;yes;cellular;-1;0;unknown
181;32;services;single;secondary;no;0;no;yes;cellular;-1;0;unknown
182;34;admin.;single;secondary;no;6979;yes;no;cellular;-1;0;unknown
183;40;admin.;divorced;secondary;no;6;no;no;unknown;-1;0;unknown
184;34;services;married;secondary;no;-62;yes;no;unknown;-1;0;unknown
185;34;self-employed;married;tertiary;no;1972;yes;no;cellular;-1;0;unknown
186;34;admin.;married;tertiary;no;899;yes;no;telephone;7;4;success
187;37;services;single;secondary;no;21;yes;no;cellular;271;2;other
188;36;technician;married;secondary;no;23;yes;no;cellular;347;1;failure
189;56;retired;married;secondary;no;-1206;yes;no;cellular;-1;0;unknown
190;49;blue-collar;married;primary;no;0;yes;yes;telephone;-1;0;unknown
191;33;self-employed;married;secondary;no;215;yes;no;cellular;-1;0;unknown
192;30;management;single;tertiary;no;1372;no;no;cellular;-1;0;unknown
193;36;services;married;secondary;no;1981;no;no;unknown;-1;0;unknown
194;23;student;single;secondary;no;9216;no;no;cellular;-1;0;unknown
195;57;retired;divorced;secondary;no;39;yes;no;cellular;-1;0;unknown
196;27;blue-collar;single;secondary;no;5563;yes;no;unknown;-1;0;unknown
197;38;services;married;secondary;no;1;no;yes;cellular;-1;0;unknown
198;42;technician;married;tertiary;no;782;no;no;cellular;-1;0;unknown
199;75;retired;married;secondary;no;3771;no;no;telephone;181;2;success
200;34;technician;single;tertiary;no;992;yes;no;cellular;88;2;success
201;48;technician;married;secondary;no;1526;no;no;cellular;-1;0;unknown
202;35;technician;single;tertiary;no;2658;yes;no;cellular;141;3;failure
203;39;management;divorced;tertiary;no;1315;yes;no;cellular;126;1;failure
204;29;blue-collar;single;tertiary;no;455;no;no;telephone;-1;0;unknown
205;45;technician;single;tertiary;no;0;yes;no;cellular;-1;0;unknown
206;42;technician;married;secondary;no;2030;yes;yes;cellular;-1;0;unknown
207;29;technician;married;secondary;no;1599;yes;no;cellular;61;1;failure
208;38;services;single;secondary;no;-196;yes;no;cellular;271;1;failure
209;56;retired;married;secondary;no;1333;no;no;cellular;-1;0;unknown
210;36;technician;single;secondary;no;9149;yes;no;cellular;-1;0;unknown
211;25;blue-collar;single;secondary;no;-350;yes;no;unknown;-1;0;unknown
212;38;technician;married;tertiary;no;432;yes;no;cellular;373;1;other
213;57;self-employed;married;secondary;no;11494;no;no;cellular;-1;0;unknown
214;31;management;married;tertiary;yes;-253;no;no;cellular;-1;0;unknown
215;42;management;married;tertiary;no;372;yes;no;cellular;-1;0;unknown
216;45;technician;married;secondary;no;1410;no;no;cellular;-1;0;unknown
217;30;blue-collar;married;secondary;no;975;yes;no;cellular;351;2;failure
218;49;blue-collar;married;primary;no;305;yes;yes;telephone;-1;0;unknown
219;49;services;married;secondary;no;400;no;no;cellular;-1;0;unknown
220;53;retired;married;tertiary;no;-22;yes;no;cellular;-1;0;unknown
221;37;technician;married;secondary;no;4030;yes;no;unknown;-1;0;unknown
222;49;blue-collar;married;primary;no;365;no;no;unknown;-1;0;unknown
223;41;self-employed;married;primary;no;204;no;no;cellular;-1;0;unknown
224;54;management;married;primary;no;1691;yes;no;cellular;-1;0;unknown
225;32;services;single;secondary;no;406;yes;no;unknown;-1;0;unknown
226;33;technician;married;secondary;no;-204;no;no;cellular;-1;0;unknown
227;33;technician;married;secondary;no;359;yes;no;cellular;242;1;other
228;36;blue-collar;married;primary;no;123;yes;no;cellular;-1;0;unknown
229;35;technician;married;tertiary;no;0;yes;yes;cellular;62;6;other
230;52;unknown;married;secondary;no;142;no;no;cellular;-1;0;unknown
231;40;entrepreneur;married;tertiary;no;3571;no;no;unknown;-1;0;unknown
232;44;technician;single;secondary;no;33;yes;no;cellular;351;10;failure
233;45;blue-collar;single;secondary;no;0;yes;no;cellular;91;5;success
234;30;student;single;secondary;no;3096;no;no;cellular;-1;0;unknown
235;48;technician;divorced;secondary;yes;20;no;no;cellular;-1;0;unknown
236;33;blue-collar;married;secondary;no;3576;yes;no;cellular;308;2;other
237;57;technician;married;unknown;no;206;yes;no;unknown;-1;0;unknown
238;57;housemaid;married;primary;no;7082;no;no;unknown;-1;0;unknown
239;51;unemployed;married;tertiary;no;1634;yes;no;cellular;-1;0;unknown
240;34;admin.;single;secondary;no;1;yes;no;cellular;-1;0;unknown
241;50;self-employed;married;tertiary;no;4012;no;no;cellular;-1;0;unknown
242;44;management;married;tertiary;no;3762;no;no;cellular;-1;0;unknown
243;27;admin.;married;secondary;no;-247;yes;yes;unknown;-1;0;unknown
244;50;blue-collar;married;secondary;no;606;yes;no;unknown;-1;0;unknown
245;36;management;married;tertiary;no;0;yes;no;cellular;250;1;other
246;42;management;married;secondary;no;-189;yes;no;unknown;-1;0;unknown
247;32;unemployed;single;secondary;no;0;no;no;cellular;-1;0;unknown
248;42;management;married;tertiary;no;484;yes;no;cellular;-1;0;unknown
249;43;technician;married;secondary;no;0;no;yes;cellular;172;5;failure
250;31;management;married;tertiary;no;395;yes;no;cellular;-1;0;unknown
251;32;management;married;tertiary;no;2349;no;no;cellular;-1;0;unknown
252;55;blue-collar;divorced;primary;no;410;no;yes;cellular;-1;0;unknown
253;58;retired;married;primary;no;3401;yes;no;cellular;265;2;failure
254;46;blue-collar;married;primary;no;222;no;no;cellular;-1;0;unknown
255;55;blue-collar;married;secondary;no;989;yes;yes;unknown;-1;0;unknown
256;34;management;married;tertiary;no;415;no;yes;cellular;-1;0;unknown
257;28;unemployed;single;secondary;no;16;no;no;cellular;-1;0;unknown
258;42;technician;divorced;tertiary;no;7190;yes;no;cellular;-1;0;unknown
259;29;blue-collar;single;secondary;no;482;no;yes;cellular;-1;0;unknown
260;54;housemaid;married;secondary;no;209;yes;yes;cellular;-1;0;unknown
261;32;technician;single;secondary;no;0;no;no;cellular;-1;0;unknown
262;39;technician;single;tertiary;no;5803;no;no;cellular;-1;0;unknown
263;53;entrepreneur;married;tertiary;no;624;no;yes;cellular;-1;0;unknown
264;58;technician;married;tertiary;no;883;no;no;cellular;78;2;failure
265;40;self-employed;married;secondary;no;1516;yes;yes;unknown;-1;0;unknown
266;29;student;single;secondary;no;872;yes;no;unknown;-1;0;unknown
267;33;technician;married;tertiary;no;-988;yes;yes;cellular;-1;0;unknown
268;38;admin.;single;secondary;no;902;yes;no;telephone;-1;0;unknown
269;56;services;divorced;secondary;no;1007;no;no;cellular;-1;0;unknown
270;40;services;married;secondary;no;0;yes;no;cellular;28;3;failure
271;24;blue-collar;single;secondary;no;174;yes;yes;cellular;-1;0;unknown
272;46;management;married;secondary;no;12186;no;no;unknown;-1;0;unknown
273;35;self-employed;married;secondary;no;524;yes;no;cellular;-1;0;unknown
274;35;blue-collar;single;tertiary;no;0;yes;no;cellular;-1;0;unknown
275;34;technician;married;secondary;no;4;yes;no;unknown;-1;0;unknown
276;35;housemaid;married;tertiary;no;11219;no;no;cellular;79;1;failure
277;38;technician;single;tertiary;no;0;no;no;cellular;-1;0;unknown
278;50;blue-collar;married;primary;no;5776;no;no;cellular;-1;0;unknown
279;51;blue-collar;divorced;primary;no;37;yes;no;cellular;-1;0;unknown
280;59;self-employed;married;tertiary;no;593;no;no;unknown;-1;0;unknown
281;32;blue-collar;married;secondary;no;1148;yes;no;cellular;-1;0;unknown
282;37;blue-collar;single;secondary;no;3561;yes;no;unknown;-1;0;unknown
283;42;admin.;divorced;secondary;no;63;no;no;unknown;-1;0;unknown
284;40;student;married;secondary;no;260;no;no;unknown;-1;0;unknown
285;28;technician;single;tertiary;no;2269;yes;no;unknown;-1;0;unknown
286;47;admin.;married;secondary;no;1060;yes;no;unknown;-1;0;unknown
287;27;self-employed;married;secondary;no;-220;yes;no;unknown;-1;0;unknown
288;41;management;married;tertiary;no;49;yes;no;cellular;-1;0;unknown
289;34;admin.;married;tertiary;no;69;no;yes;cellular;1;6;success
290;50;blue-collar;married;primary;no;4108;yes;no;cellular;-1;0;unknown
291;47;blue-collar;married;secondary;no;480;yes;no;unknown;-1;0;unknown
292;53;services;married;secondary;no;4994;no;no;cellular;-1;0;unknown
293;53;technician;divorced;secondary;no;0;yes;yes;cellular;-1;0;unknown
294;47;management;married;tertiary;no;3681;no;no;cellular;-1;0;unknown
295;49;entrepreneur;divorced;unknown;yes;-701;yes;no;cellular;-1;0;unknown
296;29;management;married;tertiary;no;451;no;no;cellular;-1;0;unknown
297;45;blue-collar;divorced;primary;no;-311;yes;no;unknown;-1;0;unknown
298;38;entrepreneur;married;secondary;no;593;yes;yes;cellular;-1;0;unknown
299;32;blue-collar;married;secondary;no;759;yes;no;cellular;-1;0;unknown
300;70;retired;divorced;primary;no;4531;no;no;cellular;-1;0;unknown
301;65;retired;divorced;primary;no;1840;no;no;cellular;188;5;failure
302;56;blue-collar;married;secondary;no;345;yes;no;telephone;-1;0;unknown
303;35;blue-collar;married;secondary;no;1287;yes;no;cellular;-1;0;unknown
304;56;management;married;unknown;no;353;no;yes;cellular;-1;0;unknown
305;56;technician;married;secondary;no;205;no;yes;cellular;-1;0;unknown
306;49;entrepreneur;married;secondary;no;687;yes;no;cellular;-1;0;unknown
307;38;unemployed;married;primary;no;1147;yes;yes;unknown;-1;0;unknown
308;35;management;married;tertiary;no;4286;yes;no;unknown;-1;0;unknown
309;38;admin.;married;tertiary;no;605;no;no;cellular;-1;0;unknown
310;49;blue-collar;married;secondary;no;8545;yes;yes;cellular;167;1;failure
311;55;management;married;unknown;no;559;no;no;cellular;-1;0;unknown
312;43;blue-collar;single;primary;no;2;yes;no;cellular;-1;0;unknown
313;43;management;married;tertiary;no;2;no;yes;cellular;-1;0;unknown
314;25;admin.;single;tertiary;no;760;yes;no;cellular;89;2;failure
315;30;blue-collar;married;primary;no;1317;yes;no;unknown;-1;0;unknown
316;46;blue-collar;married;secondary;no;182;no;no;cellular;-1;0;unknown
317;50;admin.;married;primary;no;276;no;yes;unknown;-1;0;unknown
318;35;entrepreneur;married;secondary;no;2971;no;no;cellular;164;2;failure
319;26;unemployed;single;secondary;no;1064;no;no;unknown;-1;0;unknown
320;45;admin.;married;unknown;no;1783;no;no;unknown;-1;0;unknown
321;37;blue-collar;married;secondary;no;-67;no;no;cellular;-1;0;unknown
322;60;self-employed;single;tertiary;no;179;no;yes;cellular;-1;0;unknown
323;38;management;married;tertiary;no;1199;no;no;cellular;1;1;success
324;47;blue-collar;married;primary;no;214;yes;yes;unknown;-1;0;unknown
325;33;technician;married;secondary;no;6699;no;no;cellular;462;1;failure
326;51;unemployed;married;secondary;no;1760;no;yes;cellular;-1;0;unknown
327;35;entrepreneur;single;tertiary;no;145;yes;no;cellular;-1;0;unknown
328;35;unemployed;married;secondary;no;978;no;no;cellular;209;3;success
329;48;admin.;single;secondary;no;1150;yes;no;unknown;-1;0;unknown
330;37;admin.;married;secondary;no;121;no;no;cellular;-1;0;unknown
331;29;technician;single;tertiary;no;828;yes;no;cellular;321;3;other
332;34;admin.;married;secondary;no;244;yes;no;cellular;-1;0;unknown
333;32;services;married;primary;no;228;yes;no;cellular;-1;0;unknown
334;30;management;single;tertiary;no;424;no;no;cellular;-1;0;unknown
335;47;management;divorced;tertiary;no;447;no;yes;unknown;-1;0;unknown
336;33;blue-collar;married;primary;no;-195;no;no;unknown;-1;0;unknown
337;33;management;single;tertiary;no;1410;yes;no;cellular;254;5;failure
338;63;retired;married;primary;no;1084;no;no;cellular;183;1;success
339;51;self-employed;divorced;primary;no;10924;no;no;cellular;-1;0;unknown
340;41;management;married;tertiary;no;832;yes;yes;cellular;176;1;failure
341;56;retired;married;tertiary;no;478;no;no;cellular;-1;0;unknown
342;60;management;single;tertiary;no;0;no;yes;cellular;-1;0;unknown
343;41;self-employed;single;tertiary;no;3950;yes;no;unknown;-1;0;unknown
344;37;management;single;unknown;no;504;yes;no;cellular;-1;0;unknown
345;36;blue-collar;single;secondary;no;219;yes;yes;cellular;347;1;failure
346;57;management;married;tertiary;no;1602;no;no;cellular;-1;0;unknown
347;55;management;married;primary;no;2587;no;no;cellular;94;2;success
348;44;admin.;married;secondary;no;0;yes;yes;unknown;-1;0;unknown
349;47;self-employed;married;tertiary;no;2303;yes;no;cellular;364;1;failure
350;31;blue-collar;married;secondary;no;1660;yes;no;cellular;-1;0;unknown
351;35;management;married;tertiary;yes;32;yes;no;cellular;-1;0;unknown
352;39;management;married;tertiary;no;278;no;yes;cellular;-1;0;unknown
353;50;management;married;tertiary;no;4;no;no;cellular;96;2;failure
354;29;management;married;tertiary;no;318;yes;no;cellular;356;4;failure
355;30;services;single;secondary;no;209;yes;no;unknown;-1;0;unknown
356;46;services;married;secondary;no;271;yes;no;unknown;-1;0;unknown
357;27;management;single;unknown;no;3196;no;no;cellular;-1;0;unknown
358;48;admin.;divorced;secondary;no;4099;no;no;cellular;-1;0;unknown
359;26;student;single;secondary;no;2572;yes;no;cellular;-1;0;unknown
360;36;management;single;tertiary;no;339;no;no;cellular;-1;0;unknown
361;42;blue-collar;married;primary;no;0;yes;yes;cellular;-1;0;unknown
362;50;housemaid;married;primary;no;395;yes;no;unknown;-1;0;unknown
363;49;blue-collar;married;secondary;no;2039;yes;no;cellular;-1;0;unknown
364;45;management;married;tertiary;no;5450;no;no;cellular;-1;0;unknown
365;23;student;single;secondary;no;780;no;no;cellular;-1;0;unknown
366;38;technician;single;secondary;no;0;yes;no;cellular;-1;0;unknown
367;32;management;single;tertiary;no;8436;yes;no;cellular;149;2;failure
368;60;technician;single;primary;no;11262;no;no;cellular;-1;0;unknown
369;30;entrepreneur;married;secondary;no;946;yes;no;cellular;183;1;other
370;58;housemaid;married;tertiary;no;497;no;no;unknown;-1;0;unknown
371;60;retired;married;primary;no;55;no;no;cellular;-1;0;unknown
372;38;services;married;secondary;no;-140;no;no;unknown;-1;0;unknown
373;51;technician;married;secondary;no;-379;yes;no;cellular;-1;0;unknown
374;42;admin.;married;secondary;no;-396;yes;no;cellular;308;4;failure
375;30;services;single;secondary;no;0;yes;no;cellular;363;9;failure
376;40;management;married;primary;no;733;yes;no;unknown;-1;0;unknown
377;37;management;married;tertiary;no;393;yes;no;cellular;275;4;failure
378;53;technician;divorced;primary;no;7290;yes;no;unknown;-1;0;unknown
379;27;services;single;secondary;no;468;yes;no;cellular;-1;0;unknown
380;39;blue-collar;married;secondary;no;0;yes;no;cellular;325;1;failure
381;39;blue-collar;married;primary;no;3705;yes;no;unknown;-1;0;unknown
382;59;retired;married;tertiary;no;9676;no;no;telephone;-1;0;unknown
383;37;services;married;secondary;no;1328;yes;no;telephone;341;4;failure
384;41;blue-collar;married;primary;no;8;yes;no;cellular;-1;0;unknown
385;45;blue-collar;married;primary;no;61;no;no;cellular;-1;0;unknown
386;48;management;married;tertiary;no;6613;no;no;unknown;-1;0;unknown
387;48;technician;married;secondary;no;302;yes;no;unknown;-1;0;unknown
